Alimento,calorias,carboidrato,proteina,gordura
REQUEIJÃO "CATURIPY",251.5,0,23.50,17.50
REQUEIJÃO COMUM,353.8,0,33.88,24.26
RICOTA,178.9,0,12.60,14.28
SAGÚ,340,86.40,0.60,0.20
SAL REFINADO,0,0,0,0
SAKÊ,134,5.00,0.50,0
SALAME,297.4,0,24.04,22.36
SALSA,43,8.50,3.20,0.60
SALSICHA COMUM,331,0,17.41,29.16
SALSICHÃO,445,0,19.00,41.00
SOJA CRUA,395,30.00,36.10,17.70
SORVETE DE CREME (MÉDIA),208,20.00,5.00,12.00
SORVETE DE FRUTAS,126.3,30.00,1.50,0
TÂMARA,177.6,41.16,1.90,0.60
TANGERINA,50,10.90,0.80,0.30
TOUCINHO FRESCO,900,0,0,100
TOUCINHO DEFUMADO,626,1.10,9.10,65.00
TOMATE,20,3.40,1.00,0.30
TRIGO GRÃO INTEIRO,353.7,70.10,12.70,2.50
TRIGO FARELO,310,56.70,14.50,2.80
UVA,78,14.90,1.40,1.40
UVA SUCO,61.6,15.10,0.30,0
VAGEM CRUA,42,7.70,2.40,0.20
VINHO (MÉDIA),85,4.20,0.10,0
WAFFLES,293.8,37.80,9.30,10.60
WHISKY,240,0,0,0
